id_code,split,issue,value
b019a49787c1,train,duplicate,b019a49787c1+e1fb532f55df
e1fb532f55df,train,duplicate,b019a49787c1+e1fb532f55df
6253f23229b1,train,duplicate,6253f23229b1+76cfe8967f7d
76cfe8967f7d,train,duplicate,6253f23229b1+76cfe8967f7d
fcc6aa6755e6,test,duplicate,fcc6aa6755e6+60f15dd68d30+772af553b8b7
60f15dd68d30,train,duplicate,fcc6aa6755e6+60f15dd68d30+772af553b8b7
772af553b8b7,train,duplicate,fcc6aa6755e6+60f15dd68d30+772af553b8b7
1e8a1fdee5b9,train,duplicate,1e8a1fdee5b9+a47432cd41e7+b8ebedd382de
a47432cd41e7,train,duplicate,1e8a1fdee5b9+a47432cd41e7+b8ebedd382de
b8ebedd382de,train,duplicate,1e8a1fdee5b9+a47432cd41e7+b8ebedd382de
ca25745942b0,train,duplicate,ca25745942b0+00cb6555d108
00cb6555d108,valid,duplicate,ca25745942b0+00cb6555d108
3b4a5fcbe5e0,train,duplicate,3b4a5fcbe5e0+3ca637fddd56
3ca637fddd56,train,duplicate,3b4a5fcbe5e0+3ca637fddd56
e7a7187066ad,test,duplicate,e7a7187066ad+ce887b196c23
ce887b196c23,train,duplicate,e7a7187066ad+ce887b196c23
1cb814ed6332,train,duplicate,1cb814ed6332+a7b0d0c51731
a7b0d0c51731,train,duplicate,1cb814ed6332+a7b0d0c51731
b13d72ceea26,train,duplicate,b13d72ceea26+da0a1043abf7
da0a1043abf7,train,duplicate,b13d72ceea26+da0a1043abf7
fea14b3d44b0,test,duplicate,fea14b3d44b0+80d24897669f
80d24897669f,train,duplicate,fea14b3d44b0+80d24897669f
9e3510963315,train,duplicate,9e3510963315+b187b3c93afb
b187b3c93afb,train,duplicate,9e3510963315+b187b3c93afb
1b4625877527,train,duplicate,1b4625877527+86b3a7929bec
86b3a7929bec,train,duplicate,1b4625877527+86b3a7929bec
c8d2d32f7f29,train,duplicate,c8d2d32f7f29+034cb07a550f
034cb07a550f,valid,duplicate,c8d2d32f7f29+034cb07a550f
5b76117c4bcb,train,duplicate,5b76117c4bcb+e037643244b7
e037643244b7,train,duplicate,5b76117c4bcb+e037643244b7
d51b3fe0fa1b,train,duplicate,d51b3fe0fa1b+df4913ca3712
df4913ca3712,train,duplicate,d51b3fe0fa1b+df4913ca3712
4d7d6928534a,train,duplicate,4d7d6928534a+94b1d8ad35ec
94b1d8ad35ec,train,duplicate,4d7d6928534a+94b1d8ad35ec
26e231747848,train,duplicate,26e231747848+36ec36c301c1
36ec36c301c1,train,duplicate,26e231747848+36ec36c301c1
